filename	onset	offset	event_label
DESED_WEI-1-00	0.7390000000000001	1.403	Speech
DESED_WEI-1-00	1.594	1.905	Alarm_bell_ringing
DESED_WEI-1-00	2.136	6.9670000000000005	Alarm_bell_ringing
DESED_WEI-1-00	2.465	4.263	Speech
DESED_WEI-1-00	7.63	7.941	Alarm_bell_ringing
DESED_WEI-1-00	8.999	9.327	Alarm_bell_ringing
DESED_WEI-1-01	1.841	4.36	Speech
DESED_WEI-1-01	2.592	2.842	Alarm_bell_ringing
DESED_WEI-1-02	2.573	7.794	Speech
DESED_WEI-1-02	3.127	5.376	Alarm_bell_ringing
DESED_WEI-1-02	8.424	8.84	Dog
DESED_WEI-1-02	8.49	8.81	Alarm_bell_ringing
DESED_WEI-1-02	9.354	9.839	Alarm_bell_ringing
DESED_WEI-1-02	9.55	10.0	Speech
DESED_WEI-1-03	0.722	1.449	Dog
DESED_WEI-1-03	1.143	7.136	Alarm_bell_ringing
DESED_WEI-1-03	6.62	9.455	Speech
DESED_WEI-1-03	7.761	8.011000000000001	Alarm_bell_ringing
DESED_WEI-1-05	0.396	0.924	Speech
DESED_WEI-1-05	2.891	3.2239999999999998	Alarm_bell_ringing
DESED_WEI-1-05	3.574	4.8469999999999995	Speech
DESED_WEI-1-05	4.34	9.946	Alarm_bell_ringing
DESED_WEI-1-05	7.041	8.901	Speech
DESED_WEI-1-06	5.428999999999999	5.912000000000001	Alarm_bell_ringing
DESED_WEI-1-07	0.51	4.651	Alarm_bell_ringing
DESED_WEI-1-07	1.266	2.642	Speech
DESED_WEI-1-07	3.4539999999999997	4.52	Speech
DESED_WEI-1-07	4.747	5.035	Dog
DESED_WEI-1-07	5.312	5.8389999999999995	Speech
DESED_WEI-1-07	5.835	7.82	Alarm_bell_ringing
DESED_WEI-1-07	8.218	10.0	Speech
DESED_WEI-1-09	0.937	1.187	Alarm_bell_ringing
DESED_WEI-1-09	3.7119999999999997	5.6770000000000005	Speech
DESED_WEI-1-09	4.757	10.0	Alarm_bell_ringing
DESED_WEI-1-09	6.521	7.9	Speech
DESED_WEI-1-09	9.039	10.0	Speech
DESED_WEI-1-09	9.477	10.0	Cat
DESED_WEI-1-1000	2.377	3.8489999999999998	Speech
DESED_WEI-1-1000	6.515	10.0	Electric_shaver_toothbrush
DESED_WEI-1-1000	7.571000000000001	9.141	Speech
DESED_WEI-1-1001	0.8240000000000001	1.556	Speech
DESED_WEI-1-1001	2.717	4.577	Speech
